student_id,age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,exam_score,diet_quality_ord,internet_quality_ord,parental_education_level_ord,gender_Male,gender_Other,part_time_job_Yes,extracurricular_participation_Yes,study_attendance_interaction,total_social_hours,social_to_study_ratio,sleep_study_ratio
S1000,23,0.0,1.2,1.1,85.0,8.0,6,8,56.2,1,1,3,False,False,False,True,0.0,2.3,2.3,8.0
S1001,20,6.9,2.8,2.3,97.3,4.6,6,8,100.0,2,1,1,False,False,False,False,671.37,5.1,0.6455696202531644,0.5822784810126581
S1002,21,1.4,3.1,1.3,94.8,8.0,1,1,34.3,0,0,1,True,False,False,False,132.72,4.4,1.8333333333333335,3.3333333333333335
S1003,23,1.0,3.9,1.0,71.0,9.2,4,1,26.8,0,2,3,False,False,False,True,71.0,4.9,2.45,4.6
S1004,19,5.0,4.4,0.5,90.9,4.9,3,1,66.4,1,2,3,False,False,False,False,454.5,4.9,0.8166666666666668,0.8166666666666668
S1005,24,7.2,1.3,0.0,82.9,7.4,1,4,100.0,1,1,3,True,False,False,False,596.8800000000001,1.3,0.1585365853658537,0.902439024390244
S1006,21,5.6,1.5,1.4,85.8,6.5,2,4,89.8,2,0,3,False,False,True,False,480.47999999999996,2.9,0.4393939393939394,0.9848484848484849
S1007,21,4.3,1.0,2.0,77.7,4.6,0,8,72.6,1,1,2,False,False,True,False,334.11,3.0,0.5660377358490566,0.8679245283018867
S1008,23,4.4,2.2,1.7,100.0,7.1,3,1,78.9,2,2,2,False,False,False,False,440.00000000000006,3.9000000000000004,0.7222222222222222,1.3148148148148147
S1009,18,4.8,3.1,1.3,95.4,7.5,5,10,100.0,2,2,2,False,False,False,True,457.92,4.4,0.7586206896551725,1.293103448275862
S1010,19,4.6,3.7,0.8,77.6,5.8,1,3,63.3,1,2,0,False,False,False,False,356.9599999999999,4.5,0.8035714285714286,1.0357142857142858
S1011,23,3.9,2.4,2.5,71.7,7.9,2,1,74.4,1,1,2,True,False,False,False,279.63,4.9,1.0,1.6122448979591837
S1012,19,3.7,2.1,0.4,81.1,4.5,1,9,76.9,1,2,2,False,False,True,False,300.07,2.5,0.5319148936170213,0.9574468085106382
S1013,19,3.4,2.7,2.7,89.3,4.7,4,10,75.8,1,2,2,False,False,False,False,303.62,5.4,1.2272727272727273,1.0681818181818181
S1014,24,2.4,1.5,0.7,87.4,6.7,6,9,78.9,0,1,2,True,False,False,False,209.76000000000002,2.2,0.6470588235294118,1.9705882352941178
S1015,21,3.1,5.0,1.0,97.5,6.5,6,7,74.0,2,1,1,True,False,False,False,302.25,6.0,1.4634146341463417,1.5853658536585367
S1016,20,1.0,0.6,0.2,92.9,5.6,3,8,55.2,0,0,1,True,False,False,True,92.9,0.8,0.4,2.8
S1017,24,3.4,2.7,1.2,94.7,7.5,0,1,70.8,0,1,1,False,False,False,True,321.98,3.9000000000000004,0.8863636363636364,1.7045454545454544
S1018,24,2.0,4.9,2.9,88.3,7.1,2,5,43.9,2,2,1,False,True,True,False,176.6,7.800000000000001,2.6,2.3666666666666667
S1019,19,1.8,2.5,2.4,71.1,7.5,1,2,45.3,1,1,1,True,False,False,False,127.97999999999999,4.9,1.7500000000000002,2.678571428571429
S1020,22,3.8,2.3,2.9,83.0,6.4,3,1,58.5,2,2,3,False,False,False,False,315.4,5.199999999999999,1.0833333333333333,1.3333333333333335
S1021,21,5.6,2.1,2.4,95.6,7.2,1,3,82.5,1,2,1,True,False,False,False,535.3599999999999,4.5,0.6818181818181819,1.090909090909091
S1022,18,4.9,2.3,0.6,84.5,6.0,3,7,98.7,1,1,1,False,True,False,False,414.05,2.9,0.4915254237288135,1.0169491525423728
S1023,24,1.1,4.1,1.4,90.0,9.0,6,1,43.7,1,2,2,False,False,True,False,99.00000000000001,5.5,2.619047619047619,4.285714285714286
S1024,20,2.0,0.0,0.9,81.8,5.5,4,2,54.9,1,1,2,False,False,True,False,163.6,0.9,0.3,1.8333333333333333
S1025,22,4.9,4.3,3.3,74.7,9.0,1,2,69.9,1,1,1,True,False,False,True,366.03000000000003,7.6,1.2881355932203389,1.5254237288135593
S1026,22,2.0,0.8,0.5,83.8,6.5,4,4,73.5,2,0,2,True,False,False,False,167.6,1.3,0.43333333333333335,2.1666666666666665
S1027,18,3.2,2.2,2.8,88.1,4.8,5,3,71.1,1,1,2,True,False,True,False,281.92,5.0,1.1904761904761905,1.1428571428571428
S1028,24,4.3,2.0,2.8,78.4,8.1,5,3,82.8,2,0,1,True,False,True,True,337.12,4.8,0.9056603773584906,1.5283018867924527
S1029,20,2.0,3.2,3.8,82.6,6.7,6,10,75.7,0,0,1,False,False,True,True,165.2,7.0,2.3333333333333335,2.2333333333333334
S1030,21,3.7,0.6,1.3,75.6,7.5,2,5,70.6,1,1,3,False,False,False,False,279.71999999999997,1.9,0.40425531914893614,1.5957446808510638
S1031,17,1.5,3.1,2.6,96.2,8.0,4,3,51.3,1,1,2,False,True,True,True,144.3,5.7,2.2800000000000002,3.2
S1032,20,2.6,4.9,4.3,82.1,6.9,3,7,52.1,2,2,2,False,True,False,False,213.45999999999998,9.2,2.5555555555555554,1.9166666666666667
S1033,18,4.0,0.9,1.1,99.5,5.8,2,5,70.7,0,1,0,False,False,False,False,398.0,2.0,0.4,1.16
S1034,22,1.1,2.7,0.1,100.0,7.7,1,4,51.2,1,2,1,False,False,False,False,110.00000000000001,2.8000000000000003,1.3333333333333335,3.6666666666666665
S1035,21,4.2,1.7,0.0,84.2,6.5,1,3,72.6,2,1,2,False,False,True,False,353.64000000000004,1.7,0.3269230769230769,1.25
S1036,20,3.5,3.0,2.6,74.9,7.3,3,4,70.7,1,2,1,False,False,False,False,262.15000000000003,5.6,1.2444444444444445,1.6222222222222222
S1037,17,4.3,2.5,0.0,64.1,3.9,0,2,59.4,2,1,1,True,False,True,False,275.62999999999994,2.5,0.4716981132075472,0.7358490566037736
S1038,17,3.8,1.7,1.4,70.3,7.0,0,1,58.1,0,2,2,True,False,False,False,267.14,3.0999999999999996,0.6458333333333333,1.4583333333333335
S1039,19,5.5,3.1,2.3,71.3,5.7,1,3,82.3,2,1,1,True,False,False,False,392.15,5.4,0.8307692307692308,0.8769230769230769
S1040,19,3.7,4.7,2.0,98.8,8.5,6,2,69.7,2,2,2,False,False,False,False,365.56,6.7,1.425531914893617,1.8085106382978722
S1041,23,2.9,2.3,2.3,86.2,7.2,6,1,66.0,2,1,2,False,False,False,False,249.98,4.6,1.1794871794871795,1.8461538461538463
S1042,18,3.7,3.4,2.0,88.9,6.8,3,1,63.5,1,0,1,True,False,False,True,328.93000000000006,5.4,1.148936170212766,1.4468085106382977
S1043,24,4.3,0.9,3.2,62.8,7.1,0,2,65.7,0,2,2,False,False,False,False,270.03999999999996,4.1000000000000005,0.7735849056603775,1.3396226415094339
S1044,20,3.6,1.4,0.8,73.0,5.3,4,9,78.5,2,0,1,False,False,False,False,262.8,2.2,0.47826086956521746,1.1521739130434783
S1045,20,3.6,3.1,1.1,93.9,8.4,1,5,75.1,1,1,2,True,False,False,True,338.04,4.2,0.9130434782608696,1.8260869565217392
S1046,24,2.4,4.3,1.0,87.9,8.9,5,9,71.0,0,1,1,True,False,False,True,210.96,5.3,1.5588235294117647,2.6176470588235294
S1047,23,2.5,2.9,2.7,83.5,7.0,4,8,59.7,2,2,0,False,False,False,True,208.75,5.6,1.5999999999999999,2.0
S1048,22,1.4,2.1,2.8,90.6,8.4,3,6,52.6,1,2,2,False,False,False,False,126.83999999999999,4.9,2.041666666666667,3.5000000000000004
S1049,22,6.1,2.5,2.3,100.0,5.8,5,1,96.5,0,1,1,False,False,False,False,610.0,4.8,0.676056338028169,0.8169014084507042
S1050,23,1.6,1.0,3.1,82.8,5.5,4,10,62.0,1,2,3,False,False,False,True,132.48,4.1,1.5769230769230766,2.1153846153846154
S1051,22,2.5,3.2,0.5,85.7,6.5,0,5,59.7,0,1,1,False,False,False,False,214.25,3.7,1.0571428571428572,1.8571428571428572
S1052,19,2.4,3.6,3.6,86.9,7.0,6,1,48.4,1,1,1,False,False,False,False,208.56,7.2,2.1176470588235294,2.058823529411765
S1053,20,4.8,2.0,3.5,100.0,6.0,0,7,70.6,2,2,2,False,False,False,True,480.0,5.5,0.9482758620689655,1.0344827586206897
S1054,23,3.1,1.9,2.6,64.0,7.1,5,10,68.1,1,2,1,False,False,True,False,198.4,4.5,1.0975609756097562,1.7317073170731707
S1055,20,5.4,2.8,3.8,91.8,6.9,2,8,87.2,2,2,1,True,False,False,False,495.72,6.6,1.0312499999999998,1.078125
S1056,24,2.5,2.0,0.0,83.9,5.3,6,8,66.7,2,1,2,True,False,False,False,209.75,2.0,0.5714285714285714,1.5142857142857142
S1057,17,3.9,2.4,1.2,90.7,7.1,1,7,75.2,2,1,2,True,False,False,True,353.73,3.5999999999999996,0.7346938775510203,1.4489795918367345
S1058,19,2.2,5.0,1.0,78.4,7.5,5,2,46.4,0,1,3,False,False,False,True,172.48000000000002,6.0,1.875,2.34375
S1059,21,6.7,2.2,2.6,84.5,6.7,3,5,97.1,2,1,3,False,False,False,True,566.15,4.800000000000001,0.6233766233766235,0.8701298701298701
S1060,19,1.7,2.1,0.6,92.1,7.9,1,4,61.2,1,1,1,False,False,True,False,156.57,2.7,1.0,2.925925925925926
S1061,23,4.0,1.7,2.6,100.0,5.0,4,5,75.0,1,2,2,True,False,False,False,400.0,4.3,0.86,1.0
S1062,21,4.5,3.4,3.3,93.1,7.1,6,10,94.7,2,2,1,True,False,True,False,418.95,6.699999999999999,1.218181818181818,1.2909090909090908
S1063,17,4.1,2.3,2.6,76.5,5.1,3,9,77.6,1,1,2,True,False,True,False,313.65,4.9,0.9607843137254903,1.0
S1064,23,3.2,1.7,2.1,80.8,5.2,3,4,68.6,2,0,1,True,False,False,True,258.56,3.8,0.9047619047619047,1.2380952380952381
S1065,18,3.3,4.1,0.7,80.5,5.7,0,8,69.6,0,2,3,False,False,False,False,265.65,4.8,1.1162790697674418,1.3255813953488373
S1066,20,3.6,4.2,0.9,67.0,5.4,4,8,66.5,2,1,2,True,False,False,False,241.20000000000002,5.1000000000000005,1.1086956521739133,1.173913043478261
S1067,17,3.3,1.8,3.2,81.7,5.8,0,2,62.2,0,2,3,True,False,False,False,269.61,5.0,1.1627906976744187,1.3488372093023255
S1068,20,4.9,0.3,2.7,92.3,6.2,0,6,82.1,2,0,2,False,False,True,False,452.27000000000004,3.0,0.5084745762711864,1.0508474576271185
S1069,22,6.8,3.7,1.8,72.3,7.5,6,5,100.0,0,1,3,True,False,False,False,491.64,5.5,0.7051282051282052,0.9615384615384616
S1070,18,2.7,1.7,1.3,95.5,6.1,2,2,59.7,0,2,2,False,False,False,True,257.85,3.0,0.8108108108108107,1.6486486486486485
S1071,18,1.4,3.4,0.0,89.9,4.6,0,10,55.1,1,0,1,False,False,False,True,125.86,3.4,1.4166666666666667,1.9166666666666665
S1072,17,3.4,0.1,0.6,77.7,7.9,1,4,77.1,1,1,1,True,False,False,True,264.18,0.7,0.15909090909090906,1.7954545454545454
S1073,18,7.4,3.6,3.9,83.6,5.5,3,7,97.7,1,1,1,False,False,False,True,618.64,7.5,0.8928571428571428,0.6547619047619048
S1074,21,2.3,1.0,0.4,100.0,6.4,6,1,66.9,1,2,0,False,False,False,False,229.99999999999997,1.4,0.42424242424242425,1.9393939393939397
S1075,18,6.0,3.4,2.0,92.3,7.0,0,9,99.9,1,2,2,False,False,True,True,553.8,5.4,0.7714285714285715,1.0
S1076,20,6.0,2.5,2.9,85.1,6.7,5,10,100.0,0,1,2,True,False,False,True,510.59999999999997,5.4,0.7714285714285715,0.9571428571428572
S1077,20,2.7,1.4,0.4,82.6,7.8,1,1,57.2,1,0,2,False,False,False,False,223.02,1.7999999999999998,0.4864864864864864,2.108108108108108
S1078,23,4.4,2.0,2.0,85.8,7.1,4,5,77.3,2,2,3,False,False,True,False,377.52000000000004,4.0,0.7407407407407407,1.3148148148148147
S1079,20,5.9,3.3,2.8,79.9,5.5,3,7,91.6,2,1,3,True,False,True,False,471.4100000000001,6.1,0.8840579710144927,0.7971014492753623
S1080,23,2.9,2.6,1.8,64.0,9.1,6,8,70.7,2,2,1,True,False,False,False,185.6,4.4,1.1282051282051284,2.3333333333333335
S1081,20,3.2,3.2,5.0,100.0,6.7,5,2,57.6,2,0,1,False,True,False,False,320.0,8.2,1.952380952380952,1.5952380952380951
S1082,21,2.6,4.9,0.0,86.6,6.3,6,4,60.2,1,0,1,False,False,True,False,225.16,4.9,1.3611111111111112,1.75
S1083,24,2.0,0.6,3.0,89.0,7.7,6,2,50.5,0,2,1,True,False,False,True,178.0,3.6,1.2,2.566666666666667
S1084,23,2.5,4.4,1.6,84.4,6.8,5,4,51.3,1,1,2,False,False,False,False,211.0,6.0,1.7142857142857142,1.9428571428571428
S1085,19,1.7,2.6,2.6,77.6,7.0,4,6,53.5,2,2,2,True,False,False,False,131.92,5.2,1.9259259259259258,2.5925925925925926
S1086,22,3.6,1.4,2.3,83.1,9.5,5,6,79.2,2,0,2,True,False,False,False,299.15999999999997,3.6999999999999997,0.8043478260869565,2.065217391304348
S1087,17,2.3,0.9,1.0,69.0,6.2,1,2,47.2,1,1,3,True,False,False,True,158.7,1.9,0.5757575757575758,1.878787878787879
S1088,20,3.9,2.3,2.1,100.0,6.1,6,4,73.4,0,2,2,True,False,False,False,390.0,4.4,0.8979591836734694,1.2448979591836733
S1089,18,1.2,3.6,0.0,72.7,6.6,4,4,41.1,0,1,1,True,False,False,True,87.24,3.6,1.6363636363636362,2.9999999999999996
